# time, g
155.95,-0.050193
155.95,-0.09659
155.95,-0.10653
155.95,-0.086646
155.95,-0.000478
155.95,0.072434
155.95,0.16192
155.95,0.10226
155.95,-0.053502
155.95,-0.10653
155.96,-0.20595
155.96,-0.15955
155.96,0.0094694
155.96,0.15861
155.96,0.22158
155.96,0.045927
155.96,-0.16949
155.96,-0.25566
155.96,-0.20926
155.96,0.0061594
155.96,0.18182
155.96,0.18182
155.96,0.15531
155.96,-0.050178
155.96,-0.12972
155.96,-0.1728
155.96,-0.16949
155.96,0.049248
155.96,0.11553
155.96,0.21828
155.97,0.092334
155.97,0.0061668
155.97,-0.070058
155.97,-0.12308
155.97,-0.026973
155.97,-0.003773
155.97,0.00617
155.97,0.055883
155.97,0.0094853
155.97,0.05257
155.97,0.029371
155.97,-0.050167
155.97,0.0094877
155.97,0.0028602
155.97,-0.026966
155.97,0.012804
155.97,0.0061761
155.97,0.085716
155.97,0.13874
155.97,0.019435
155.98,-0.043533
155.98,-0.046847
155.98,-0.03359
155.98,0.069149
155.98,0.11555
155.98,-0.020331
155.98,-0.056786
155.98,-0.14958
155.98,-0.12638
155.98,0.00287
155.98,0.036012
155.98,0.16527
155.98,0.15202
155.98,-0.023641
155.98,-0.046839
155.98,-0.056781
155.98,0.0028744
155.98,0.12218
155.98,0.042645
155.98,0.0028762
155.99,-0.079977
155.99,-0.060091
155.99,0.055904
155.99,0.10562
155.99,-0.017006
155.99,-0.09323
155.99,-0.25562
155.99,-0.083286
155.99,0.032709
155.99,0.11888
155.99,0.11888
155.99,-0.02363
155.99,-0.036885
155.99,-0.050141
155.99,-0.10317
155.99,-0.053454
155.99,-0.033569
155.99,0.019458
155.99,0.069171
155.99,-0.016996
156,-0.00042501
156,0.01946
156,0.099
156,0.10894
156,0.12883
156,-0.023621
156,-0.053447
156,-0.096531
156,-0.043504
156,0.062549
156,0.059236
156,0.026095
156,0.012839
156,-0.0667
156,-0.13298
156,-0.036871
156,0.0028991
156,0.12552
156,0.085754
156,-0.050125
156.01,-0.099837
156.01,-0.033553
156.01,0.029416
156.01,0.11558
156.01,0.21833
156.01,0.21833
156.01,0.14541
156.01,-0.12966
156.01,-0.28542
156.01,-0.30531
156.01,-0.12303
156.01,0.072505
156.01,0.10565
156.01,0.11228
156.01,0.029423
156.01,0.0029107
156.01,-0.033544
156.01,-0.079941
156.01,-0.020286
156.01,0.0029132
156.02,0.026113
156.02,0.14874
156.02,0.092397
156.02,-0.023597
156.02,-0.14953
156.02,-0.22244
156.02,-0.033538
156.02,0.10566
156.02,0.25149
156.02,0.22829
156.02,0.022805
156.02,-0.13627
156.02,-0.25227
156.02,-0.15947
156.02,-0.033533
156.02,0.069206
156.02,0.10898
156.02,0.10898
156.02,0.16533
156.02,0.18521
156.03,0.036068
156.03,-0.13295
156.03,-0.22906
156.03,-0.14621
156.03,0.055955
156.03,0.19184
156.03,0.27138
156.03,0.21836
156.03,-0.016954
156.03,-0.11969
156.03,-0.14952
156.03,-0.016952
156.03,0.0095618
156.03,0.049332
156.03,-0.0036935
156.03,-0.093175
156.03,-0.00037816
156.03,-0.069974
156.03,0.049335
156.03,0.055964
156.04,-0.02026
156.04,-0.040145
156.04,-0.046772
156.04,-0.00037381
156.04,0.12225
156.04,0.17197
156.04,0.11231
156.04,0.042712
156.04,-0.11968
156.04,-0.10311
156.04,-0.046767
156.04,-0.00036883
156.04,0.0029459
156.04,0.026145
156.04,-0.033508
156.04,0.089115
156.04,0.012891
156.04,-0.1031
